,Community,Result,Year,Above 15 ppb,Above 10 ppb,Above 5 ppb,Household_income,Black_income,American_Indian_Income,Asian_income,Hawaiian_income,White_income,Hispanic_income,Total_households,Self_employed,Not_self_employed,Area in Square Miles,Summarized area in Square Miles.1,Income_to_poverty_base,Income_below_poverty_level,Ratio_households_above_poverty_level,Summarized area in Square Miles.2,Percent_white,Percent_black,Percent_native_american,Percent_asian,Percent_hawaiian,Percent_hispanic,Population 9-47 mo1,Total Screened,Percent Screened,Percentage_0-4,Percentage_5-9,Percentage_10-24,Percentage_>25,Percent_Pre-1978_Housing_Units,Percentage_>5
56,DIGHTON,0.0004615384615384616,2016.0,0.0,0.0,0.0,93821.37086089,1.094e-05,0.0,0.0,0.0,91800.99948152,3.277e-05,2706.81059643,372.97390191,2333.83669452,22.1699269,22.16973653,6867.78806735,165.92238846,12.86671283,22.1211511,91.62614042,2.79774475,0.0,0.0,0.59951673,0.8992751,258.0,191.0,74.0,97.9,0.0,0.0,0.0,50.0,0.0
58,DOUGLAS,0.006550000000000003,2016.0,0.07352941176470588,0.11029411764705882,0.17647058823529413,95555.42522868,5.336e-05,0.0,0.0,0.0,96468.31463964,1.15e-06,3145.67949522,318.96750126,2826.71199396,37.90169264,37.90325651,8404.94041421,187.8198464,15.57766389,37.90325626,87.98934174,0.29996367,0.0,1.29984255,0.0,7.59907948,321.0,142.0,44.0,98.6,0.0,0.0,0.0,46.0,0.0
59,DRACUT,0.004778378378378379,2016.0,0.02702702702702703,0.02702702702702703,0.02702702702702703,99479.69943659,11131.24837144,0.0,37069.19734465,0.0,100667.34394779,19775.79323783,2146.98282681,216.13548664,1930.98296319,21.43716462,21.43675388,5733.60605026,108.64157752,22.7259156,21.23618659,86.81118659,2.86440212,0.0,2.96749867,0.0314257,5.2049186,1157.0,838.0,72.0,99.3,0.0,0.0,0.0,52.0,0.0
60,DUNSTABLE,0.0023714285714285725,2016.0,0.02857142857142857,0.02857142857142857,0.08571428571428572,131118.77914188,6.39e-05,0.0,130119.8134202,0.0,131674.22176904,0.06684793,1138.55251778,183.92755485,954.62496294,16.75209706,16.75066612,3185.16291324,37.97806507,28.89996721,16.75066612,92.50742402,8.3e-07,0.0,4.495505,0.0,1.29870253,66.0,66.0,100.0,97.0,0.0,0.0,0.0,35.0,0.0
62,EAST BRIDGEWATER,0.00798684210526316,2016.0,0.11842105263157894,0.15789473684210525,0.25,87566.22413542,74892.88982471,0.0,0.00495791,0.0,85278.69454551,0.0,2091.86846341,183.68764076,1908.18082266,17.54106484,17.54103339,5721.11158885,139.48025885,21.25302386,17.53047521,89.37299886,3.3652325,0.0,2.26327243,0.0,2.00446289,497.0,381.0,77.0,99.5,0.0,0.0,0.0,61.0,0.0
63,EAST BROOKFIELD,0.0005904761904761904,2018.0,0.0,0.0,0.0,84420.88092037,0.0,0.0,0.0,0.0,84490.86175545,3.1e-07,821.93228318,57.99522193,763.93706125,10.42292114,10.42287839,2131.01484321,55.86901759,12.53506454,10.42287829,96.97344335,0.8997536,0.29991787,0.0,0.0,1.7995072,63.0,47.0,75.0,100.0,0.0,0.0,0.0,64.0,0.0
64,EAST LONGMEADOW,0.00349295081967213,2016.0,0.03278688524590164,0.053864168618266976,0.1358313817330211,91469.9074212,1.182e-05,0.0,15021.58891025,0.0,91921.26764992,131599.26410618,2190.52674847,268.97505053,1921.55169794,13.00819933,13.00796811,5682.10197887,67.43760906,37.57560031,13.00796811,85.11293381,5.75611981,0.22590525,3.17417477,0.0,4.36667004,480.0,376.0,78.0,97.6,2.1,0.0,0.0,69.0,1.9
68,EASTHAMPTON,0.003566536585365851,2016.0,0.05853658536585366,0.0975609756097561,0.1902439024390244,69705.38130864,25660.42956681,0.0,121343.17112004,0.0,69560.19135768,15924.19714701,2375.71471147,228.73522502,2146.97948645,13.6061578,13.6055978,5404.01272612,142.23797536,16.99177237,13.47482688,89.30843096,1.60243066,0.0,2.73551624,0.0,3.8993848,470.0,296.0,63.0,99.7,0.0,0.0,0.0,71.0,0.0
69,EDGARTOWN,0.00055188679245283,2016.0,0.009433962264150943,0.009433962264150943,0.018867924528301886,59598.96190418,0.0,0.0,0.0,0.0,64966.63881564,4e-07,1284.99292396,405.9977643,877.99516517,26.70078345,26.62558186,3746.80275757,119.99368319,9.18606245,26.47977394,74.30328841,0.82763564,0.0,0.73567612,0.0,6.80500414,132.0,72.0,55.0,97.2,0.0,0.0,0.0,35.0,0.0
70,ERVING,0.001860740740740741,2016.0,0.018518518518518517,0.018518518518518517,0.07407407407407407,9609.18726447,0.0,0.0,0.0,0.0,9954.32708469,16096.35851928,244.98550635,35.99787032,208.98763603,14.38608999,14.38420054,574.60975715,22.98436599,1.67574441,14.24144094,15.72360087,0.23720949,0.08471768,0.10166121,0.0,0.38970132,59.0,26.0,44.0,92.3,0.0,0.0,0.0,67.0,0.0
71,ESSEX,0.006636363636363637,2016.0,0.045454545454545456,0.045454545454545456,0.18181818181818182,111769.15523958,8.35e-06,0.0,0.0,0.0,112020.33516368,0.0,1408.90526689,314.9788212,1092.92651292,14.25565318,13.36772005,3384.99124797,48.98539885,25.83088098,14.01945497,97.22140516,0.0,0.0,0.0,0.0,0.49250965,111.0,94.0,85.0,97.9,0.0,0.0,0.0,61.0,0.0
72,EVERETT,0.00103072,2019.2,0.0,0.0,0.04,57135.81328602,63994.72258729,0.0,49673.19833901,0.0,48535.14719061,56906.41077217,2231.28648241,242.7801792,1988.50630322,3.43199084,3.42901662,5456.56384595,309.78263348,6.15118508,3.41517972,42.40546736,17.08330561,0.01023103,5.91553158,0.0069827,30.38028303,2220.0,1663.0,75.0,97.7,1.7,0.5,0.1,88.0,2.0
